,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
0,469707.12813333,410.95585202,284.15776635,602477.25242857,361.52837463,107.18219209
1,4860.62519062,38.04713428,17.78118709,159183.61496099,170.93069161,94.84528234
2,1588.23354531,20.92335142,8.60221427,3995.77983412,34.48977673,15.11342009
3,1069.43970729,16.03707037,6.23379834,1392.14556688,19.95648044,8.62658047
4,893.08487786,14.23021517,5.07452162,970.10854628,15.23401974,5.79385447
5,800.46255156,12.76423953,4.38912347,836.07120015,13.45144500,4.82424189
6,747.75871589,12.06071993,4.03902772,766.66226622,12.51184601,4.33162357
7,717.39132096,11.56552292,3.84834849,725.99643129,11.89938495,4.01089650
8,719.56699049,11.60844436,4.01775257,701.11690098,11.44325839,3.78857885
9,720.26488112,11.21717806,3.62555742,676.51007142,11.11583916,3.62487107
10,662.58501576,10.66628046,3.39533981,662.44326754,10.81552575,3.48131394
11,640.51570391,10.39411582,3.29461866,644.63501367,10.58957492,3.37387883
12,668.92921615,10.52870602,3.24074001,630.57031779,10.33682085,3.27062079
13,614.99374342,9.97227124,3.11724728,616.38168110,10.12162182,3.18866846
14,598.40831738,9.77005818,3.05788078,605.65931068,9.92529397,3.10389572
15,588.29141172,9.58674098,2.96495180,594.94999118,9.73193501,3.02421987
16,583.29995977,9.43899233,2.89325727,582.72241424,9.54273878,2.94743306
17,568.75075228,9.25405807,2.82615588,574.95180789,9.38929078,2.87846433
18,562.59337253,9.09483659,2.78761719,564.66558366,9.25807429,2.83093979
19,562.73474974,9.12056795,2.81587177,558.62770100,9.10441488,2.76898145
20,546.89082168,8.87461678,2.68634975,552.07447487,8.99423068,2.73036141
21,547.63621341,8.84008444,2.66174091,543.99706766,8.86779112,2.68742688
22,532.77681712,8.66903018,2.64184318,537.25724655,8.75731194,2.64959627
23,525.41025078,8.55290876,2.60037293,530.69103100,8.65260116,2.60847068
24,523.53984004,8.47431121,2.55031066,523.70274074,8.54907034,2.57295278
25,530.49565046,8.45861558,2.53962489,518.03438092,8.44851216,2.52691039
26,514.69629401,8.32182097,2.46277501,516.40223506,8.36760870,2.49492654
27,505.50290391,8.24032207,2.46546925,509.22391073,8.27007940,2.46681025
28,500.49952526,8.10266475,2.39636492,506.50762338,8.20705533,2.43746184
29,526.06231387,8.29674469,2.39393249,499.45633716,8.11858142,2.40632140
30,495.46533118,7.95608793,2.35355164,496.52300656,8.05167037,2.37517875
31,492.54543148,7.95733479,2.33140878,493.29564630,7.96105691,2.34240354
32,493.41179095,7.89225134,2.29284120,488.40888484,7.90028107,2.31270123
33,484.30012985,7.80777930,2.26990752,485.26862494,7.82781221,2.28224866
34,478.04778717,7.69429201,2.22011290,480.59789987,7.75748516,2.25542080
35,522.78370352,7.88944390,2.25713509,477.31056820,7.70063277,2.22691996
36,480.58363105,7.67587979,2.27909107,474.72707457,7.64124453,2.20393702
37,469.74777757,7.53444707,2.16117314,473.26192520,7.57499008,2.16837688
38,470.53646432,7.50020439,2.16472444,466.92040466,7.49965250,2.14320440
39,479.99503997,7.59893243,2.11268901,465.84282346,7.46230869,2.11358413
40,531.24423727,8.06842372,2.12445344,461.55175857,7.41457048,2.09061201
41,459.29968112,7.29629462,2.02180568,460.48283832,7.35924652,2.06142300
42,460.71355531,7.32278752,2.02024034,457.71532006,7.30478928,2.03426763
43,456.86024967,7.23296303,2.00665632,456.37942584,7.24327037,2.00371520
44,452.89115622,7.16778186,1.96104823,454.85098572,7.19698209,1.97640630
45,470.84531195,7.37516878,1.96737525,452.03586527,7.14812734,1.95448920
46,453.15916582,7.14190648,1.90549250,448.57309759,7.10671804,1.93329066
47,447.76766722,7.00496178,1.87177117,448.89040572,7.06297758,1.90911017
48,450.62496530,7.14679634,1.95487244,446.14075193,7.01703741,1.88223524
49,443.59428024,6.94921256,1.83582558,443.96111888,6.99358603,1.86879023
